subd_name,visual_category,visual_color
Clinical Cancer Research,Medical Sciences,#FF1177
Circulation,Medical Sciences,#FF1177
Anesthetics & Analgesics,Medical Sciences,#FF1177
Urology,Medical Sciences,#FF1177
Oncology,Medical Sciences,#FF1177
Rheumatology,Medical Sciences,#FF1177
Leukemia,Medical Sciences,#FF1177
Allergy & Clinical Immunology,Medical Sciences,#FF1177
Dermatology,Medical Sciences,#FF1177
Kidney,Medical Sciences,#FF1177
Pharmacology Science,Medical Sciences,#FF1177
Developmental Biology,Medical Sciences,#FF1177
Digestion,Medical Sciences,#FF1177
Toxicology Applied Pharmacology,Medical Sciences,#FF1177
Diabetes Care,Medical Sciences,#FF1177
Ophthalmology,Medical Sciences,#FF1177
Fertility,Medical Sciences,#FF1177
Obstetrics,Medical Sciences,#FF1177
Chest & Respiratory,Medical Sciences,#FF1177
Vascular Surgery,Medical Sciences,#FF1177
Pediatrics,Medical Sciences,#FF1177
Cardiovascular,Medical Sciences,#FF1177
Human Molecular Genetics,Medical Sciences,#FF1177
Clinical Endocrinology,Medical Sciences,#FF1177
Dietetics,Medical Sciences,#FF1177
Surgery,Medical Sciences,#FF1177
AIDS Research,Medical Sciences,#FF1177
Transplantation,Medical Sciences,#FF1177
Thoracic Surgery,Medical Sciences,#FF1177
Pathology,Medical Sciences,#FF1177
Stem Cells,Medical Sciences,#FF1177
Intensive Care,Medical Sciences,#FF1177
Pharmacy,Medical Sciences,#FF1177
Endoscopic Surgery,Medical Sciences,#FF1177
Nuclear Medicine,Medical Sciences,#FF1177
Clinical Infectious Disease,Medical Sciences,#FF1177
Radiation Protection,Medical Sciences,#FF1177
Birth Defects,Medical Sciences,#FF1177
Thrombosis,Medical Sciences,#FF1177
Diabetes Metabolism,Medical Sciences,#FF1177
Clinical Chemistry,Medical Sciences,#FF1177
Prenatal Diagnostics,Medical Sciences,#FF1177
Cancer (translated),Medical Sciences,#FF1177
Electrocardiography,Medical Sciences,#FF1177
Molecular Endocrinology,Medical Sciences,#FF1177
Bone & Osteoporosis,Medical Sciences,#FF1177
Radiation Therapy,Medical Sciences,#FF1177
Transfusion,Medical Sciences,#FF1177
Atherosclerosis,Medical Sciences,#FF1177
Thoracic & Respiratory,Medical Sciences,#FF1177
Endoscopy,Medical Sciences,#FF1177
Clinical Medicine (translated),Medical Sciences,#FF1177
Hepatology,Medical Sciences,#FF1177
Eye,Medical Sciences,#FF1177
Radiology,Medical Sciences,#FF1177
Gut,Medical Sciences,#FF1177
Surgical Oncology,Medical Sciences,#FF1177
Clinical Rehabilitation,Medical Sciences,#FF1177
Drug Safety,Medical Sciences,#FF1177
Dermatological Surgery,Medical Sciences,#FF1177
Gynecology Oncology,Medical Sciences,#FF1177
Heart Failure; Catheters,Medical Sciences,#FF1177
Menopause,Medical Sciences,#FF1177
Pulmonary,Medical Sciences,#FF1177
Lung Cancer,Medical Sciences,#FF1177
Impotence,Medical Sciences,#FF1177
Hormone Research,Medical Sciences,#FF1177
Pediatric Research,Medical Sciences,#FF1177
Clinical Medicine (Romania),Medical Sciences,#FF1177
Medical Specialties,Medical Sciences,#FF1177
Data Mining,Computer Science & Engineering,#CC00FF
Signal Processing,Computer Science & Engineering,#CC00FF
Applied Optics,Computer Science & Engineering,#CC00FF
Systems Software,Computer Science & Engineering,#CC00FF
Antenna,Computer Science & Engineering,#CC00FF
Circuit Systems,Computer Science & Engineering,#CC00FF
Automatic Control,Computer Science & Engineering,#CC00FF
Broadband Communication,Computer Science & Engineering,#CC00FF
Integrated Circuit Design,Computer Science & Engineering,#CC00FF
Image Processing,Computer Science & Engineering,#CC00FF
Neural Networks,Computer Science & Engineering,#CC00FF
Parallel Computing,Computer Science & Engineering,#CC00FF
Power Distribution,Computer Science & Engineering,#CC00FF
Mobile Networks,Computer Science & Engineering,#CC00FF
Artificial Intelligence,Computer Science & Engineering,#CC00FF
Library Science; Information Retrieval,Computer Science & Engineering,#CC00FF
Solid State Electronics,Computer Science & Engineering,#CC00FF
Speech Recognition,Computer Science & Engineering,#CC00FF
Computer Graphics,Computer Science & Engineering,#CC00FF
Robotic Systems,Computer Science & Engineering,#CC00FF
Artificial Evolution,Computer Science & Engineering,#CC00FF
Photo-Optics,Computer Science & Engineering,#CC00FF
Robotics,Computer Science & Engineering,#CC00FF
Instrumentation,Computer Science & Engineering,#CC00FF
Dielectrics,Computer Science & Engineering,#CC00FF
Search Engines; Web Crawling,Computer Science & Engineering,#CC00FF
Fault Tolerant Computing,Computer Science & Engineering,#CC00FF
Spyware; Malware,Computer Science & Engineering,#CC00FF
Fuzzy Sets,Computer Science & Engineering,#CC00FF
Wireless Communication,Computer Science & Engineering,#CC00FF
Computer Systems Design,Computer Science & Engineering,#CC00FF
Electrical Networks,Computer Science & Engineering,#CC00FF
Pattern Recognition,Computer Science & Engineering,#CC00FF
Test Equipment,Computer Science & Engineering,#CC00FF
Logic,Computer Science & Engineering,#CC00FF
Software Design and Development,Computer Science & Engineering,#CC00FF
Database Design & Management,Computer Science & Engineering,#CC00FF
Electronic Imaging,Computer Science & Engineering,#CC00FF
Functional Programing,Computer Science & Engineering,#CC00FF
Microwaves; Radio Frequencies,Computer Science & Engineering,#CC00FF
Security; Cryptography,Computer Science & Engineering,#CC00FF
Power Systems,Computer Science & Engineering,#CC00FF
Chip Design & Manufacturing,Computer Science & Engineering,#CC00FF
Computer Networks,Computer Science & Engineering,#CC00FF
User Interface Design,Computer Science & Engineering,#CC00FF
Control Systems,Computer Science & Engineering,#CC00FF
Machine Learning,Computer Science & Engineering,#CC00FF
Medical Image Processing,Computer Science & Engineering,#CC00FF
Power Transmission,Computer Science & Engineering,#CC00FF
Computer Systems Theory,Computer Science & Engineering,#CC00FF
Computer Modeling and Animation,Computer Science & Engineering,#CC00FF
Circuits,Computer Science & Engineering,#CC00FF
Antennae; Mobile Radio,Computer Science & Engineering,#CC00FF
Consumer Electronics,Computer Science & Engineering,#CC00FF
Electronics,Computer Science & Engineering,#CC00FF
Fuzzy Logic,Computer Science & Engineering,#CC00FF
Hydraulics,Computer Science & Engineering,#CC00FF
Protein Science,Biotechnology,#39FF14
Food Protection,Biotechnology,#39FF14
Genomics & Nucleic Acids,Biotechnology,#39FF14
BioInformatics,Biotechnology,#39FF14
Enzyme Microbiological Techniques,Biotechnology,#39FF14
Proteomics,Biotechnology,#39FF14
Biotechnology Trends,Biotechnology,#39FF14
Microbiology Biotechnology,Biotechnology,#39FF14
Systematics & Evolutionary Microbiology,Biotechnology,#39FF14
Food Engineering,Biotechnology,#39FF14
Biotechnology Bioengineering,Biotechnology,#39FF14
Neuroscience; Molecular & Cellular,Neuroscience,#FFFF00
Affective Disorders,Neuroscience,#FFFF00
Medical Imaging,Neuroscience,#FFFF00
Clinical Neurophysiology,Neuroscience,#FFFF00
Neurosurgery,Neuroscience,#FFFF00
Neurology,Neuroscience,#FFFF00
Psychopharmacology,Neuroscience,#FFFF00
Otolaryngology; Laryngoscope,Neuroscience,#FFFF00
Memory & Cognition,Neuroscience,#FFFF00
Vision,Neuroscience,#FFFF00
Psychosis; Schizophrenia,Neuroscience,#FFFF00
Geriatrics,Neuroscience,#FFFF00
Neurophysiology & Neuroscience,Neuroscience,#FFFF00
Child & Adolescent Psychiatry,Neuroscience,#FFFF00
Geriatric Psychiatry,Neuroscience,#FFFF00
Speech Language & Hearing,Neuroscience,#FFFF00
Epilepsy,Neuroscience,#FFFF00
Forensic Psychiatry,Neuroscience,#FFFF00
Physical Therapy; Brain Injury,Neuroscience,#FFFF00
Neuroscience Methods,Neuroscience,#FFFF00
NeuroImmunology,Neuroscience,#FFFF00
Magnetic Resonance Imagery,Neuroscience,#FFFF00
Consciousness,Neuroscience,#FFFF00
Headache,Neuroscience,#FFFF00
Hearing Research,Neuroscience,#FFFF00
Forensic Science,Neuroscience,#FFFF00
Sleep,Neuroscience,#FFFF00
Neurotoxicology,Neuroscience,#FFFF00
Immunology,Microbiology & Immunology,#FF3131
Virology,Microbiology & Immunology,#FF3131
Bacteriology,Microbiology & Immunology,#FF3131
Molecular Cell Biology,Microbiology & Immunology,#FF3131
AntiMicrobial Agents,Microbiology & Immunology,#FF3131
Clinical Microbiology,Microbiology & Immunology,#FF3131
Animal Science,Microbiology & Immunology,#FF3131
Tropical Medicine,Microbiology & Immunology,#FF3131
Veterinary Science,Microbiology & Immunology,#FF3131
Veterinary Medicine,Microbiology & Immunology,#FF3131
Veterinary Microbiology,Microbiology & Immunology,#FF3131
Mutation; DNA Repair,Microbiology & Immunology,#FF3131
Dairy Science,Microbiology & Immunology,#FF3131
World Health Organization,Microbiology & Immunology,#FF3131
Vaccines,Microbiology & Immunology,#FF3131
Gene Therapy,Microbiology & Immunology,#FF3131
Cytogenetics & Genome Mapping,Microbiology & Immunology,#FF3131
Peptides,Microbiology & Immunology,#FF3131
Sexually Transmitted Diseases,Microbiology & Immunology,#FF3131
Reproduction Veterinary,Microbiology & Immunology,#FF3131
Poultry Science,Microbiology & Immunology,#FF3131
Molecular Biology Methods,Microbiology & Immunology,#FF3131
Agricultural Environmental Medicine,Microbiology & Immunology,#FF3131
Macromolecules & Polymers,Chemistry,#00FFFF
Organic Chemistry,Chemistry,#00FFFF
Inorganic Chemistry,Chemistry,#00FFFF
Pharmaceutical Research,Chemistry,#00FFFF
Food Chemistry,Chemistry,#00FFFF
Pharmaceutical Design,Chemistry,#00FFFF
Chromatography; Electrophoresis,Chemistry,#00FFFF
Computational Chemistry,Chemistry,#00FFFF
Phytochemistry,Chemistry,#00FFFF
Electro Analytical Chemistry,Chemistry,#00FFFF
Molecular Physics,Chemistry,#00FFFF
Nanotechnology,Chemistry,#00FFFF
Atomic Spectrometry,Chemistry,#00FFFF
Catalysis,Chemistry,#00FFFF
Flavors & Fragrance,Chemistry,#00FFFF
EthnoPharmacology,Chemistry,#00FFFF
Applied Catalysis,Chemistry,#00FFFF
Colloid,Chemistry,#00FFFF
Chemistry & Material Science,Chemistry,#00FFFF
Computer Aided Molecular Design,Chemistry,#00FFFF
Environmental Chemistry,Chemistry,#00FFFF
Surfactants,Chemistry,#00FFFF
Mass Spectrometry,Chemistry,#00FFFF
Thermal Analysis,Chemistry,#00FFFF
Liquid Crystals,Chemistry,#00FFFF
Carbon,Chemistry,#00FFFF
Chemistry (Russia),Chemistry,#00FFFF
Crystallography,Chemistry,#00FFFF
Toxins,Chemistry,#00FFFF
Carbohydrate Research,Chemistry,#00FFFF
Green Chemistry,Chemistry,#00FFFF
Paints & Coatings,Chemistry,#00FFFF
Surface Science,Physics & Mathematics,#FF00FF
Nonlinear Analysis,Physics & Mathematics,#FF00FF
Semiconducting Materials,Physics & Mathematics,#FF00FF
Algebra,Physics & Mathematics,#FF00FF
Astronomy & Astrophysics,Physics & Mathematics,#FF00FF
Chaos Fractals & Complexity,Physics & Mathematics,#FF00FF
High Energy Physics,Physics & Mathematics,#FF00FF
Discrete Applied Mathematics,Physics & Mathematics,#FF00FF
Optics & Lasers,Physics & Mathematics,#FF00FF
Photonics,Physics & Mathematics,#FF00FF
Functional Analysis,Physics & Mathematics,#FF00FF
Simulation,Physics & Mathematics,#FF00FF
Nuclear Instrumentation,Physics & Mathematics,#FF00FF
Plasma Physics,Physics & Mathematics,#FF00FF
Surface Coating Technology,Physics & Mathematics,#FF00FF
Design & Analysis of Algorithms,Physics & Mathematics,#FF00FF
Space Research,Physics & Mathematics,#FF00FF
Mathematics Research,Physics & Mathematics,#FF00FF
Computational Math,Physics & Mathematics,#FF00FF
Geophysical Science,Physics & Mathematics,#FF00FF
Nuclear Physics,Physics & Mathematics,#FF00FF
Optimization Theory,Physics & Mathematics,#FF00FF
Mathematical Science (Russia),Physics & Mathematics,#FF00FF
Topology,Physics & Mathematics,#FF00FF
Physics; Current Developments,Physics & Mathematics,#FF00FF
